instance,scenario,nodes,services,state_pairs,budget,approach,initial_score,exhaustive_score,greedy_score,absolute_gap,relative_gap_percent,optimal_hit,exhaustive_completed,exhaustive_status,theoretical_configurations,feasible_configurations,greedy_net_cost,greedy_remaining_budget,greedy_steps,greedy_reallocations,exhaustive_problog_evaluations,greedy_problog_evaluations,exhaustive_seconds,greedy_seconds,speedup
realistic_edge_cloud_storage,storage,2,2,6,0,upgrade-then-downgrade,0.48301874171999987,0.5145340427999999,0.48301874171999987,0.03151530108000006,6.1250176778390735,False,True,OPTIMAL,729,264,0,0,0,0,264,2,28.99919564100037,0.24987992099977419,116.05252444843929
realistic_edge_cloud_storage,storage,2,2,6,0,downgrade-then-upgrade,0.48301874171999987,0.5145340427999999,0.48301874171999987,0.03151530108000006,6.1250176778390735,False,True,OPTIMAL,729,264,0,0,6,0,264,2,28.99919564100037,0.25041105400032393,115.80637187431373
realistic_edge_cloud_storage,storage,2,2,6,100,upgrade-then-downgrade,0.48301874171999987,0.5444864549999999,0.4894828591199999,0.055003595880000034,10.10192179711799,False,True,OPTIMAL,729,367,90,10,1,0,367,3,39.940802543000245,0.2985574260001158,133.77929692823903
realistic_edge_cloud_storage,storage,2,2,6,100,downgrade-then-upgrade,0.48301874171999987,0.5444864549999999,0.4894828591199999,0.055003595880000034,10.10192179711799,False,True,OPTIMAL,729,367,90,10,7,0,367,2,39.940802543000245,0.19591407000007166,203.86898471858422
realistic_edge_cloud_storage,storage,2,2,6,300,upgrade-then-downgrade,0.48301874171999987,0.6255516195,0.5372372844,0.08831433510000009,14.117833340530595,False,True,OPTIMAL,729,590,200,100,2,0,590,3,60.86816782999995,0.2807785100003457,216.78357018820637
realistic_edge_cloud_storage,storage,2,2,6,300,downgrade-then-upgrade,0.48301874171999987,0.6255516195,0.5372372844,0.08831433510000009,14.117833340530595,False,True,OPTIMAL,729,590,200,100,8,0,590,2,60.86816782999995,0.19695819100070366,309.0410585147103
realistic_edge_cloud_storage,storage,2,2,6,400,upgrade-then-downgrade,0.48301874171999987,0.657359712,0.5896506779999999,0.06770903400000006,10.300149638619786,False,True,OPTIMAL,729,664,310,90,3,0,664,3,60.43850155199925,0.25225698800022656,239.59099024818678
realistic_edge_cloud_storage,storage,2,2,6,400,downgrade-then-upgrade,0.48301874171999987,0.657359712,0.5896506779999999,0.06770903400000006,10.300149638619786,False,True,OPTIMAL,729,664,310,90,9,0,664,2,60.43850155199925,0.1652605629997197,365.7164205116605
realistic_edge_cloud_communication,communication,2,2,6,0,upgrade-then-downgrade,0.3858136127999999,0.3858136127999999,0.3858136127999999,0.0,0.0,True,True,OPTIMAL,729,264,0,0,0,0,264,2,21.58646584500002,0.17144159599956765,125.91148442793579
realistic_edge_cloud_communication,communication,2,2,6,0,downgrade-then-upgrade,0.3858136127999999,0.3858136127999999,0.3858136127999999,0.0,0.0,True,True,OPTIMAL,729,264,0,0,6,0,264,2,21.58646584500002,0.17034189900005003,126.72434657426051
realistic_edge_cloud_communication,communication,2,2,6,100,upgrade-then-downgrade,0.3858136127999999,0.3858136127999999,0.3858136127999999,0.0,0.0,True,True,OPTIMAL,729,382,0,100,0,0,382,2,34.73384174900002,0.2768258229998537,125.47182691485533
realistic_edge_cloud_communication,communication,2,2,6,100,downgrade-then-upgrade,0.3858136127999999,0.3858136127999999,0.3858136127999999,0.0,0.0,True,True,OPTIMAL,729,382,0,100,6,0,382,2,34.73384174900002,0.24022897299983015,144.58639736608532
realistic_edge_cloud_communication,communication,2,2,6,300,upgrade-then-downgrade,0.3858136127999999,0.4813433855999999,0.4772417126399999,0.004101672959999969,0.8521303258145301,False,True,OPTIMAL,729,589,270,30,2,0,589,3,68.49151781599994,0.302386942999874,226.50289439259444
realistic_edge_cloud_communication,communication,2,2,6,300,downgrade-then-upgrade,0.3858136127999999,0.4813433855999999,0.4772417126399999,0.004101672959999969,0.8521303258145301,False,True,OPTIMAL,729,589,270,30,8,0,589,2,68.49151781599994,0.20284108000032575,337.66097979704085
realistic_edge_cloud_communication,communication,2,2,6,400,upgrade-then-downgrade,0.3858136127999999,0.522158579712,0.522158579712,0.0,0.0,True,True,OPTIMAL,729,654,400,0,3,0,654,3,64.32879072300057,0.2388725880000493,269.3016861482126
realistic_edge_cloud_communication,communication,2,2,6,400,downgrade-then-upgrade,0.3858136127999999,0.522158579712,0.522158579712,0.0,0.0,True,True,OPTIMAL,729,654,400,0,9,0,654,2,64.32879072300057,0.18401716199969087,349.58038708970327
realistic_edge_cloud_monitoring,monitoring,2,2,6,0,upgrade-then-downgrade,0.4774668021599999,0.5086198584,0.4774668021599999,0.031153056240000088,6.125017677839078,False,True,OPTIMAL,729,266,0,0,0,0,266,2,27.79369441400013,0.18063021099987964,153.87068564083475
realistic_edge_cloud_monitoring,monitoring,2,2,6,0,downgrade-then-upgrade,0.4774668021599999,0.5086198584,0.4774668021599999,0.031153056240000088,6.125017677839078,False,True,OPTIMAL,729,266,0,0,6,0,266,2,27.79369441400013,0.1577457499997763,176.19298405211893
realistic_edge_cloud_monitoring,monitoring,2,2,6,100,upgrade-then-downgrade,0.4774668021599999,0.5582413079999999,0.5226462864,0.03559502159999994,6.376278697025399,False,True,OPTIMAL,729,396,80,20,2,1,396,4,34.3215873449999,0.6041735590006283,56.80749651105504
realistic_edge_cloud_monitoring,monitoring,2,2,6,100,downgrade-then-upgrade,0.4774668021599999,0.5582413079999999,0.48385661935999996,0.07438468863999997,13.324827019071112,False,True,OPTIMAL,729,396,90,10,7,0,396,2,34.3215873449999,0.18515453100008017,185.36725598675756
realistic_edge_cloud_monitoring,monitoring,2,2,6,300,upgrade-then-downgrade,0.4774668021599999,0.6368172210000002,0.620327484,0.016489737000000115,2.589398724818736,False,True,OPTIMAL,729,623,290,10,4,1,623,3,61.071930586000235,0.30314273800013325,201.4626211694815
realistic_edge_cloud_monitoring,monitoring,2,2,6,300,downgrade-then-upgrade,0.4774668021599999,0.6368172210000002,0.582873084,0.053944137000000114,8.470897962729577,False,True,OPTIMAL,729,623,300,0,9,0,623,2,61.071930586000235,0.19560585899944272,312.2193317643631
realistic_edge_cloud_monitoring,monitoring,2,2,6,400,upgrade-then-downgrade,0.4774668021599999,0.6686931105,0.630316242,0.038376868499999994,5.739085373753076,False,True,OPTIMAL,729,684,400,0,4,0,684,2,77.40413167299994,0.2927616750002926,264.3929799654363
realistic_edge_cloud_monitoring,monitoring,2,2,6,400,downgrade-then-upgrade,0.4774668021599999,0.6686931105,0.630316242,0.038376868499999994,5.739085373753076,False,True,OPTIMAL,729,684,400,0,10,0,684,2,77.40413167299994,0.17736180300016713,436.4194001395385
realistic_edge_cloud_network,network,2,2,6,0,upgrade-then-downgrade,0.39014148095999995,0.39014148095999995,0.39014148095999995,0.0,0.0,True,True,OPTIMAL,729,271,0,0,0,0,271,2,27.183776377000868,0.1500449640006991,181.17086806641646
